M3U Channel,method,tvg-id
SKY SPORTS MAIN,BOLA_NO_EPG,internal_6a277ae1
ASTRO FOOTBALL ᴴᴰ,BOLA_NO_EPG,internal_07c683f4
ASTRO PREMIER LEAGUE 1 ᴴᴰ,BOLA_NO_EPG,internal_4ff7e6e5
ASTRO PREMIER LEAGUE 2 ᴴᴰ,BOLA_NO_EPG,internal_75c7fbeb
BEIN SPORTS 1,BOLA_NO_EPG,internal_5f6d3954
BEIN SPORTS 2,BOLA_NO_EPG,internal_dadffb44
BEIN SPORTS 3,BOLA_NO_EPG,internal_fd279d75
BEIN SPORTS 4,BOLA_NO_EPG,internal_e85b5a9b
BEIN SPORTS 5,BOLA_NO_EPG,internal_80b664bd
BEIN SPORTS 6,BOLA_NO_EPG,internal_6c424127
BEIN SPORTS 7,BOLA_NO_EPG,internal_a70556ff
BEIN SPORTS 8,BOLA_NO_EPG,internal_113e4f8d
BEIN SPORTS EXTRA,BOLA_NO_EPG,internal_5924ec2d
BEIN SPORTS EXTRA n,BOLA_NO_EPG,internal_05540c31
SPOTV,BOLA_NO_EPG,internal_240b4c58
SPOTV 2,BOLA_NO_EPG,internal_8baad6f5
SPOTV PRIME,BOLA_NO_EPG,internal_04db3e29
SPOTV PRIME 2,BOLA_NO_EPG,internal_cd50a47b
SPOTV PRIME PLUS,BOLA_NO_EPG,internal_9279996a
SKY SPORTS PREMIERE LEAGUE,BOLA_NO_EPG,internal_7507dfa8
SKY SPORTS BUNDESLIGA ᴴᴰ,BOLA_NO_EPG,internal_89892736
SKY SPORTS FOOTBALL,BOLA_NO_EPG,internal_b120b6bf
SKY SPORT ARENA ᴴᴰ,BOLA_NO_EPG,internal_e4b285d0
SKY SPORT F1 ᴴᴰ,BOLA_NO_EPG,internal_82bf04bb
SKY SPORTS GOLF ᴴᴰ,BOLA_NO_EPG,internal_e19cad25
DAZN LALIGA,BOLA_NO_EPG,internal_4c768f50
TNT Sports 1,BOLA_NO_EPG,internal_da8a96a3
TNT Sports 2,BOLA_NO_EPG,internal_967d1da3
TNT Sports 3,BOLA_NO_EPG,internal_166c4935
TNT Sports 4,BOLA_NO_EPG,internal_23f2cf01
PREMIER SPORTS 1,BOLA_NO_EPG,internal_7beb503f
PREMIER SPORTS 2,BOLA_NO_EPG,internal_0d105c1f
SpoTV,BOLA_NO_EPG,internal_0797a576
SpoTV 2,BOLA_NO_EPG,internal_05379932
SpoTV 1 PH,BOLA_NO_EPG,internal_05baf849
SpoTV 2 PH,BOLA_NO_EPG,internal_fa0462a9
Soccer Channel,BOLA_NO_EPG,internal_72d56f64
Soccer Channel V+,BOLA_NO_EPG,internal_02aa77bd
beIN Sports ID 1,BOLA_NO_EPG,internal_73c60d05
beIN Sports ID 2,BOLA_NO_EPG,internal_f8107a34
