M3U Channel,assigned tvg-id
CANAL+ SPORT,internal_0566820f
FS2,internal_a43bf0ad
FOX SPORT PREMIUM,internal_8223816a
UNITED FIGHT ALIANCE,internal_594b381a
UNIFI SPORTS,internal_257f537d
UFC,internal_e9e81c0c
WWW LIVE,internal_cb64876f
-ᴷᴼᴾᴵ ˢᵁˢᵁ-,internal_ee532de8
-ᴬᵀᵀᴱᴺᵀᴵᴼᴺ-,internal_dbe85ad7
1-LIVE EVENT WWE,internal_113ac55f
2-EVENT WWE,internal_37a61842
3-EVENT WWE,internal_e0e53d69
4-EVENT WWE,internal_2588842e
5-EVENT WWE,internal_09d38ed4
6-EVENT WWE,internal_dac95616
7-EVENT WWE,internal_99f74841
8-EVENT WWE,internal_6f67df97
9-EVENT WWE,internal_62aa3ad2
10-EVENT WWE,internal_b43b25d6
11-EVENT WWE,internal_58c3baaf
12-EVENT WWE,internal_774c461f
13-EVENT WWE,internal_464fd0fb
14-EVENT WWE,internal_f6c041cb
15-EVENT WWE,internal_fc69b658
16-EVENT WWE,internal_008305cd
ASTRO BADMINTONᴴᴰ,internal_9253ed8b
ASTRO ARENA ᴴᴰ,internal_68fe4c14
ASTRO ARENA 2 ᴴᴰ,internal_42396ee3
ASTRO SPORTS PLUS ᴴᴰ,internal_8a191388
ASTRO GRANDSTAND ᴴᴰ,internal_783e260f
ASTRO CRICKET ᴴᴰ,internal_0fd3e4bd
SONY TEN 1 ᴴᴰ,internal_5dee1818
SONY TEN 2 ᴴᴰ,internal_ac525183
SONY TEN 3 ᴴᴰ,internal_c54306d8
SONY TEN 4 ᴴᴰ,internal_f16bd73f
SONY TEN 5 ᴴᴰ,internal_db00c004
DAZN 1-DT1,internal_50426b4d
DAZN 1-DT2,internal_a036f499
DAZN 1-DT2,internal_a036f499
DAZN 2,internal_c3c34263
DAZN 3,internal_acef2103
DAZN 4,internal_8ef719b3
DAZN 5,internal_48b8cf1e
DAZN FAST,internal_a441e73d
DAZN RISE,internal_f05de745
DAZN COMBAT,internal_538d0ac9
DAZN F1,internal_2fcc226b
ME WATCH SPORTS,internal_884eb4b3
PRIMA SPORT 1,internal_0562dcbb
PRIMA SPORT 2,internal_64a3ea4a
PRIMA SPORT 3,internal_672bbbe5
PRIMA SPORT 4,internal_6964cfdf
PRIMA SPORT 5,internal_a9929ea8
SSC 1ᴴᴰ,internal_2d4a5499
SSC 2ᴴᴰ,internal_ae5925cb
SSC 3ᴴᴰ,internal_acc8de5c
SSC 4ᴴᴰ,internal_31dfee43
SSC 5ᴴᴰ,internal_8b267550
SSC EXTRA 1,internal_584e84c7
SSC EXTRA 2,internal_bec08ba3
SSC EXTRA 3,internal_45878e45
TENNIS CHANNEL 1,internal_fae050f5
TENNIS CHANNEL 2,internal_43a02614
SPORTV 1,internal_7b0e32b6
SPORTV 2,internal_e4d104b9
SPORTV 3,internal_f71bd873
TVRI SPORT ᴴᴰ,internal_cd6486e7
HUB SPORTS 1,internal_174073a8
HUB SPORTS 2,internal_f7ae3e65
HUB SPORTS 3,internal_8526bea7
STAR SPORTS SELECT 1 ᴴᴰ,internal_7ad39557
STAR SPORTS 2 ᴴᴰ,internal_d2d5bc70
ESPN VIVO,internal_883bc9e7
ESPN VIVO 2,internal_1b988cb5
ESPN 3,internal_f1d1cbf7
ESPN 4,internal_c8f0857f
ESPN 5,internal_7fe93099
ESPN 6,internal_66968f90
ESPN,internal_7b0ef842
ESPN 2,internal_7a39b11b
ESPN NETWORK,internal_12c42279
ESPN PREMIUM,internal_bf65ff80
ESPN VIVO,internal_883bc9e7
